SampleID,Location,Source,HostSV
Catalina.A.Ae,Catalina,host,1
Catalina.A.C1,Catalina,host,5
Catalina.A.C2,Catalina,host,5
Onna.April.A3,Okinawa,host,3
Onna.April.A4,Okinawa,host,3
Onna.May.A1,Okinawa,host,3
Onna.May.A10,Okinawa,host,2
Onna.May.A11,Okinawa,host,1
Onna.May.A12,Okinawa,host,2
Onna.May.A3,Okinawa,host,2
Onna.May.A6,Okinawa,host,1
Onna.May.A7,Okinawa,host,3
st10.A.10,st10,host,2
st12.A.11,st12,host,2
st12.A.12,st12,host,1
st12.A.14,st12,host,1
st12.A.15,st12,host,2
st12.A.16,st12,host,2
st13.A.18,st13,host,1
st13.A.19,st13,host,1
st13.A.20,st13,host,1
st13.A.21,st13,host,1
st17.A.22,st17,host,1
st17.A.25,st17,host,2
st17.A.27,st17,host,2
st17.A.28,st17,host,1
st17.A.29,st17,host,2
st17.A.31,st17,host,2
st17.A.33,st17,host,2
st17.A.34,st17,host,4
st17.A.35,st17,host,1
st17.A.36,st17,host,2
st17.A.39,st17,host,2
st17.A.40,st17,host,2
st17.A.42,st17,host,2
st17.A.43,st17,host,4
st2.A.1,st2,host,3
st2.A.3,st2,host,1
st2.A.5,st2,host,1
st2.A.6,st2,host,1
st2.A.7,st2,host,2
st4.A.9,st4,host,1
st10.DNA.0.2.1,st10,environment,
st10.DNA.0.2.2,st10,environment,
st10.DNA.10.0.1,st10,environment,
st10.DNA.10.0.2,st10,environment,
st12.DNA.0.2.1,st12,environment,
st12.DNA.0.2.2,st12,environment,
st12.DNA.10.0.1,st12,environment,
st12.DNA.10.0.2,st12,environment,
st13.DNA.0.2.1,st13,environment,
st13.DNA.0.2.2,st13,environment,
st13.DNA.10.0.1,st13,environment,
st13.DNA.10.0.2,st13,environment,
st17.DNA.0.2.1,st17,environment,
st17.DNA.0.2.2,st17,environment,
st17.DNA.10.0.1,st17,environment,
st17.DNA.10.0.2,st17,environment,
st2.DNA.0.2.1,st2,environment,
st2.DNA.0.2.2,st2,environment,
st2.DNA.10.0.1,st2,environment,
st2.DNA.10.0.2,st2,environment,
st4.DNA.0.2.1,st4,environment,
st4.DNA.0.2.2,st4,environment,
st4.DNA.10.0.1,st4,environment,
st4.DNA.10.0.2,st4,environment,